Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2022-07-1,4.2,11.7,0.0,1.6,0.4,S,33.0,15:45,8.0,89,5.0, ,Calm,1030.7,11.6,77,6,S,24,1029.7
2022-07-2,5.1,11.9,0.0,0.0,4.3,SSW,33.0,14:18,7.7,96,7.0,SSW,13,1030.7,10.8,70,4,SSW,20,1029.1
2022-07-3,3.8,12.1,0.0,0.8,4.8,SSE,41.0,13:37,6.5,98,7.0,SW,7,1029.4,10.6,64,7,S,26,1026.9
2022-07-4,3.2,12.7,0.0,1.6,7.9,SSE,35.0,12:43,6.7,94,1.0,SSW,9,1028.6,12.4,66,1,S,26,1026.8
2022-07-5,6.7,13.6,0.4,1.4,7.0,SSE,33.0,12:11,9.3,98,7.0,SW,9,1027.8,12.7,68,3,S,22,1024.8
2022-07-6,-0.5,16.9,0.2,1.4,9.0,N,24.0,01:59,7.0,81,0.0,N,17,1022.9,16.6,49,1,WSW,7,1019.4
2022-07-7,3.2,14.1,0.0,1.4,6.1,SW,41.0,12:57,8.7,88,7.0,W,11,1018.8,12.3,60,7,SW,28,1016.7
2022-07-8,7.5,11.7,0.6,1.6,1.1,SSW,48.0,15:58,8.5,88,7.0,WSW,24,1015.9,9.3,91,7,SSW,24,1016.0
2022-07-9,5.9,12.7,12.6,3.6,3.4,SW,30.0,12:04,7.3,86,5.0,WSW,17,1022.0,11.4,75,7,S,15,1022.8
2022-07-10,2.3,15.6,0.2,0.0,6.7,NNE,28.0,14:03,7.8,94,7.0,NE,11,1028.5,15.1,49,1,NE,13,1025.2
2022-07-11,4.5,13.4,0.0,2.2,5.4,NNE,52.0,05:51,9.1,69,7.0,NNE,24,1024.7,11.9,64,6,NNE,22,1021.1
2022-07-12,5.1,10.1,1.8,0.0,0.1,SSW,26.0,13:39,8.0,94,7.0,N,7,1018.2,9.6,91,7,SSW,11,1016.1
2022-07-13,4.6,12.4,4.2,0.6,4.4,SW,44.0,13:51,7.2,88,5.0,WSW,19,1020.0,10.9,69,4,SSW,24,1020.7
2022-07-14,4.7,11.7,1.0,1.2,1.1,SW,22.0,11:13,8.4,84,7.0,SW,11,1027.9,11.6,63,7,SSW,11,1027.6
2022-07-15,5.9,14.3,0.0,0.8,3.1,N,57.0,23:17,8.8,79,7.0,N,11,1028.3,13.0,56,7,NW,11,1025.2
2022-07-16,7.3,12.5,0.0,2.8,2.4,NNE,83.0,16:03,8.4,72,7.0,N,31,1020.4,12.2,61,7,NNE,46,1011.4
2022-07-17,7.3,16.7,0.0,2.8,4.7,N,57.0,00:38,10.7,86,6.0,N,22,1007.4,10.0,75,7,WSW,35,1007.2
2022-07-18,4.3,10.6,0.4,2.6,3.1,SW,48.0,14:40,7.4,81,7.0,W,22,1019.1,8.0,83,6,SSW,13,1022.2
2022-07-19,2.5,11.1,2.0,0.4,3.1,ESE,28.0,12:10,5.6,94,1.0, ,Calm,1031.3,10.5,50,1,ENE,11,1030.4
2022-07-20,-1.5,12.4,0.2,0.6,9.0,N,19.0,07:42,2.8,85,0.0,N,11,1033.6,11.9,49,1,S,9,1031.7
2022-07-21,-0.2,15.5,0.0,1.6,9.0,N,26.0,04:46,5.0,74,4.0,NNW,7,1034.0,15.2,47,1,ESE,9,1030.7
2022-07-22,1.5,17.6,0.0,1.4,6.4,NNE,48.0,12:26,9.7,75,1.0,N,17,1029.5,15.7,50,7,NNE,22,1025.2
2022-07-23,5.8,13.4,0.2,2.4,0.0,NNE,44.0,14:08,11.0,77,8.0,NNE,24,1024.6,12.7,74,7,NE,19,1020.8
2022-07-24,9.7,17.4,6.0,2.0,9.3,N,48.0,05:41,12.4,83,1.0,NNE,24,1021.7,16.9,62,1,N,24,1019.1
2022-07-25,6.9,13.9,0.0,2.6,2.0,NNE,57.0,15:05,11.3,79,7.0,N,33,1014.3,12.5,88,7,NNE,35,1010.9
2022-07-26,6.0,12.3,4.6,1.6,1.9,WSW,72.0,15:21,8.6,77,6.0,W,19,1015.1,10.2,74,7,SW,22,1016.4
2022-07-27,6.6,15.6,1.8,1.0,4.7,W,44.0,14:22,10.8,95,6.0,W,13,1021.2,13.8,68,7,W,19,1020.2
2022-07-28,6.6,13.2,0.8,1.6,5.3,SW,41.0,16:36,9.5,85,6.0,WNW,15,1025.3,11.8,61,7,WSW,17,1024.1
2022-07-29,4.2,12.3,1.2,1.2,8.0,SSW,28.0,13:34,6.4,92,4.0,WSW,13,1028.9,10.7,52,3,S,13,1027.9
2022-07-30,-1.1,12.5,0.0,1.8,9.1,NNE,56.0,16:26,5.8,77,2.0,N,20,1026.2,12.0,53,1,NNE,31,1022.3
2022-07-31,5.8,13.9,0.0,4.0,1.4,NNE,72.0,10:32,8.7,60,7.0,NNE,50,1014.4,12.4,58,7,N,43,1009.5
2022-08-1,6.6,14.8,0.0,3.8,7.4,NW,59.0,16:02,9.2,71,1.0,N,31,1012.7,14.3,54,3,NW,35,1011.5
