"Daily Weather Observations for Melbourne Airport, Victoria for April 2023"
"Prepared at 13:01 UTC on Sunday 14 May 2023   IDCJDW3049.202304"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-04-1,8.6,15.9,2.6,2.4,2.4,S,43,11:20,10.3,85,7,SSW,11,1019.5,14.1,64,7,SE,19,1019.9
,2023-04-2,6.9,19.4,0.4,2.0,10.2,S,28,16:12,13.5,77,2,SSW,2,1021.9,17.7,50,3,SSW,13,1019.2
,2023-04-3,7.4,25.8,0,3.4,8.8,NNE,43,14:11,13.9,77,1,NE,4,1020.3,23.3,45,6,NNW,20,1016.4
,2023-04-4,9.1,27.9,0,5.0,10.1,N,43,09:27,20.2,60,1,NNE,24,1019.1,22.2,62,6,S,24,1016.2
,2023-04-5,12.7,18.6,0,4.0,0.2,SSE,26,14:57,16.2,75,7,E,9,1018.8,17.8,66,7,SSE,15,1016.4
,2023-04-6,11.2,24.6,0,1.2,2.8,NNE,56,10:15,17.5,72,7,NE,9,1012.1,22.5,49,7,N,31,1007.4
,2023-04-7,14.2,18.8,5.4,5.2,0.2,NNE,50,10:25,17.1,83,7,N,20,999.4,16.9,68,7,NNW,17,997.4
,2023-04-8,12.6,17.1,3.2,1.4,2.1,WSW,59,15:16,12.7,95,7,WSW,17,1006.6,16.2,66,7,SW,30,1005.4
,2023-04-9,9.6,15.2,0.6,3.8,0.6,SW,59,10:13,10.5,88,7,WSW,26,1012.8,14.0,57,7,SSW,33,1012.9
,2023-04-10,8.9,15.5,0.4,2.6,0.7,SSW,39,11:03,10.3,93,7,SW,22,1014.8,14.5,63,7,SSW,22,1013.4
,2023-04-11,10.3,19.4,0.8,1.4,6.5,NNE,30,23:48,13.2,83,7,SW,9,1015.9,18.9,55,7,E,9,1011.2
,2023-04-12,11.3,19.0,3.6,4.2,3.8,NNE,65,07:23,12.5,89,7,NNE,41,1004.5,18.2,68,4,NNE,33,1004.1
,2023-04-13,12.4,22.2,2.0,2.0,7.8,SSE,33,15:58,14.7,90,4,SW,7,1015.9,20.8,59,3,SE,17,1015.3
,2023-04-14,9.5,25.4,0,2.8,7.5,NNE,39,14:32,12.8,95,7,NNE,9,1015.5,24.6,44,5,NNE,22,1010.2
,2023-04-15,12.5,19.4,0.2,6.0,0.6,N,91,08:19,17.1,67,6,NNE,31,1001.4,17.7,73,7,NNE,30,999.5
,2023-04-16,11.1,17.7,33.0,3.0,4.3,WSW,56,13:28,12.4,90,7,WSW,22,1004.4,14.0,83,5,SSW,11,1009.8
,2023-04-17,7.9,19.9,1.0,3.0,4.4,N,31,08:17,14.0,66,2,N,24,1022.8,18.9,57,7,NE,6,1022.1
,2023-04-18,12.5,23.0,0,2.6,9.3,N,41,13:26,16.6,67,3,NNE,20,1023.6,21.5,55,3,NNE,28,1019.4
,2023-04-19,12.9,17.8,1.0,3.4,6.0,SW,50,11:58,13.7,74,6,WSW,20,1022.3,16.7,52,5,WSW,26,1022.0
,2023-04-20,5.4,17.7,0,4.0,4.9,WSW,26,10:33,12.4,76,2,WNW,9,1026.8,16.9,61,7,S,11,1025.6
,2023-04-21,8.7,17.9,0,2.8,0.5,WNW,20,08:18,15.0,81,7,WNW,9,1030.4,17.5,69,7, ,Calm,1029.3
,2023-04-22,11.2,20.8,0,0.0,4.8,S,33,15:26,14.4,88,7, ,Calm,1032.0,20.3,56,2,S,11,1029.5
,2023-04-23,13.3,19.2,0,1.6,3.0,S,28,15:54,15.0,91,7,S,13,1034.5,18.5,61,5,SE,13,1032.5
,2023-04-24,7.6,25.0,0.2,2.6,10.0,NNE,54,09:42,17.5,75,1,N,17,1032.4,24.5,47,1,NNW,19,1028.7
,2023-04-25,13.8,25.1,0,4.0,8.8,N,35,09:48,19.1,65,1,N,26,1029.1,24.5,42,7,NW,7,1025.8
,2023-04-26,11.2,24.3,0,4.0,8.7,N,50,10:04,17.5,68,1,N,26,1025.9,23.9,46,6,NNE,30,1021.3
,2023-04-27,14.3,21.5,0,6.0,5.2,NNE,76,13:18,17.2,61,7,N,41,1017.6,21.3,56,1,NNE,52,1012.5
,2023-04-28,14.8,21.7,0,6.0,4.8,N,57,02:45,18.4,60,6,NNW,17,1011.1,13.0,87,7,WSW,17,1011.2
,2023-04-29,6.0,16.0,4.8,2.0,9.0,S,28,13:46,10.9,78,2,NNW,11,1014.8,14.6,52,4,SSE,15,1013.4
,2023-04-30,3.6,16.4,0,1.8,10.2,S,30,15:12,9.1,80,1,W,7,1018.1,15.8,37,1,S,19,1015.7
