"Daily Weather Observations for Melbourne Airport, Victoria for May 2023"
"Prepared at 05:36 UTC on Monday 15 May 2023   IDCJDW3049.202305"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-05-1,5.3,17.9,0.2,2.2,3.5,WSW,33,23:42,11.2,97,7,WSW,2,1016.5,17.7,52,7,SE,9,1014.1
,2023-05-2,9.8,20.1,0,2.2,3.6,W,43,15:20,15.8,68,7,NNW,15,1015.7,18.8,50,6,WNW,31,1013.3
,2023-05-3,9.5,15.0,2.0,4.4,4.2,WSW,74,13:37,12.0,67,1,W,33,1011.6,14.2,67,4,WSW,39,1013.8
,2023-05-4,7.7,15.5,2.8,1.8,0.5,W,28,00:01,11.9,85,7,W,7,1022.3,15.0,57,7,SW,2,1020.7
,2023-05-5,8.0,17.2,0,1.6,5.2,N,56,11:31,12.4,63,3,N,28,1017.0,15.8,55,7,N,31,1013.6
,2023-05-6,8.8,12.0,10.8,3.8,0.7,S,37,13:23,9.5,89,7,W,13,1020.4,9.4,85,7,WNW,15,1020.0
,2023-05-7,4.8,12.2,3.4,0.6,4.5,SW,48,10:51,6.2,88,6,WSW,26,1024.5,9.3,78,4,SSW,22,1024.7
,2023-05-8,6.2,14.9,2.0,1.6,2.5,SW,43,15:20,8.7,83,6,W,24,1026.4,14.0,65,7,SW,30,1024.2
,2023-05-9,8.6,16.4,0,1.8,3.6,S,44,14:51,11.2,83,7,WSW,15,1027.5,15.7,61,5,SSW,30,1026.9
,2023-05-10,9.3,14.9,1.0,0.8,0.3,SW,30,11:16,11.1,90,7,SW,13,1030.4,14.4,65,8,S,19,1028.9
,2023-05-11,4.7,18.1,0,2.2,9.3,N,46,11:56,9.8,82,1,N,15,1028.3,17.3,54,1,N,30,1025.1
,2023-05-12,7.7,18.2,0,2.8,5.2,N,35,07:48,13.1,72,7,N,26,1028.9,16.9,60,7,SSE,19,1028.5
,2023-05-13,6.8,16.6,0,1.6,6.4,SSE,19,12:58,10.5,98,8,W,7,1032.9,16.2,63,1,SSE,11,1029.8
,2023-05-14,5.2,20.6,0,1.8,9.5,NNE,43,11:39,11.6,80,1,NNE,17,1029.6,20.2,43,1,NW,19,1025.6
,2023-05-15,9.4,,0,3.8,,,,,14.2,68,1,N,33,1024.8,,,,,,
