Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2021-11-1,6.4,24.4,0.0,4.6,12.5,S,31,15:39,14.1,71,4.0,E,2,1024.6,22.6,41,4,S,19,1022.1
2021-11-2,7.4,28.9,0.0,6.0,12.0,NNE,50,12:18,18.6,59,1.0,N,15,1023.1,28.3,33,4,NNE,37,1018.7
2021-11-3,18.6,21.2,0.0,12.6,0.1,NNE,78,07:18,21.1,53,7.0,NNE,46,1015.5,18.9,79,8,N,17,1017.1
2021-11-4,11.9,18.5,28.6,3.0,8.3,S,43,16:25,13.8,79,7.0,SSW,17,1025.8,17.8,63,1,S,30,1024.8
2021-11-5,11.4,24.1,0.0,3.8,7.9,S,26,16:47,15.1,85,7.0,SW,11,1022.0,22.7,63,2,WSW,7,1016.1
2021-11-6,15.1,25.3,0.0,5.4,4.3,NNE,61,08:29,20.0,74,6.0,N,43,1009.7,23.0,68,7,N,35,1005.0
2021-11-7,11.8,15.4,2.8,5.2,0.0,SSW,31,02:23,13.1,88,7.0,S,13,1010.5,15.0,70,7,SSW,17,1009.8
2021-11-8,10.5,16.9,0.0,2.4,7.9,S,35,12:47,11.9,67,7.0,SW,15,1012.5,15.6,50,5,SSW,20,1012.2
2021-11-9,5.3,20.3,0.0,4.2,9.2,SSE,33,15:45,12.5,72,1.0, ,Calm,1013.4,19.2,41,7,WSW,13,1011.2
2021-11-10,10.6,14.3,10.0,5.0,2.3,SW,31,08:34,10.9,96,8.0,SW,11,1011.6,12.5,78,7,SSW,11,1009.9
2021-11-11,6.1,16.1,4.2,2.6,6.9,S,44,14:02,11.7,75,6.0,SW,20,1010.3,15.5,50,7,S,31,1005.3
2021-11-12,9.5,12.9,2.0,4.4,0.0,SSE,59,15:53,11.1,85,8.0,SSE,22,997.2,12.4,91,8,SSE,31,996.8
2021-11-13,9.2,14.9,32.8,5.8,2.2,SW,54,11:18,11.1,93,8.0,SW,19,1004.4,13.4,65,7,SSW,30,1006.1
2021-11-14,4.7,15.4,2.4,1.2,8.8,WSW,80,13:56,11.2,68,3.0,NNW,26,1004.2,9.1,84,7,WSW,50,1003.1
2021-11-15,6.7,15.5,1.4,5.0,6.0,WSW,69,14:22,9.7,71,6.0,W,28,1009.6,15.0,49,6,WSW,30,1011.1
2021-11-16,5.6,13.7,0.0,4.4,1.2,SW,30,06:59,10.8,70,7.0,SW,15,1019.3,13.2,62,7,SSW,13,1020.5
2021-11-17,9.8,19.5,0.0,1.2,8.2,S,30,16:12,12.2,67,7.0,ESE,7,1023.6,18.6,48,5,WSW,9,1020.4
2021-11-18,8.5,25.6,0.0,5.0,5.2,WSW,93,20:56,18.5,48,7.0,NNE,46,1013.0,22.6,39,5,N,50,1006.2
2021-11-19,11.4,16.8,0.4,9.2,2.1,SW,33,00:04,13.8,70,7.0,SSW,24,1014.0,16.0,53,7,SSW,9,1012.9
2021-11-20,11.0,17.1,0.0,3.4,7.6,S,39,16:58,13.2,72,7.0,S,9,1015.1,16.0,50,4,S,24,1015.1
2021-11-21,8.6,17.7,0.2,5.4,9.1,S,41,11:34,13.5,68,7.0,SSE,20,1020.2,16.9,52,2,S,26,1019.9
2021-11-22,8.3,22.1,0.0,5.0,11.4,S,30,09:15,14.3,77,3.0,SSW,11,1022.8,20.8,51,7,SSW,13,1019.6
2021-11-23,12.7,25.0,0.0,6.8,2.4,N,63,07:34,18.6,58,7.0,NNE,44,1016.6,24.0,51,7,NNE,28,1014.3
2021-11-24,15.2,27.4,0.0,5.6,4.4,N,39,07:10,21.2,74,6.0,N,28,1013.7,24.8,55,6,SSW,11,1011.7
2021-11-25,13.9,15.9,0.2,4.2,0.0,S,37,14:10,14.3,97,8.0,SW,11,1013.5,14.1,91,8,SSW,20,1012.8
2021-11-26,11.0,19.8,1.0,0.0,2.8,SE,61,15:15,13.9,98,8.0,SSW,17,1016.2,18.5,57,7,SE,33,1017.0
2021-11-27,10.0,21.1,0.0,5.8,12.8,SSE,52,07:23,14.6,64,1.0,SSE,39,1023.5,19.8,43,3,SSE,24,1021.1
2021-11-28,7.2,22.6,0.0,7.0,12.1,S,31,15:11,13.4,79,2.0,W,9,1024.2,22.1,41,1,SSW,15,1019.8
2021-11-29,8.5,28.9,0.0,6.4,12.5,NNE,39,12:17,18.6,64,0.0,NNE,19,1018.5,28.3,28,3,W,19,1014.8
2021-11-30,11.7,31.1,0.0,8.0,13.6,N,46,08:35,24.2,46,0.0,N,31,1014.8,29.9,21,4,NE,17,1011.8
2021-12-1,16.9,32.7,0.0,11.4,5.2,SSE,106,15:26,24.6,45,7.0,N,33,1012.5,32.2,37,4,NNE,31,1010.4
2021-12-2,17.0,32.6,14.6,12.2,8.8,SSW,50,15:44,25.9,48,5.0,NNE,24,1013.7,31.1,35,7,NNW,13,1010.7
2021-12-3,9.1,20.5,3.8,7.0,11.7,S,39,17:24,14.9,70,1.0,SW,13,1019.8,18.3,57,4,SSW,20,1018.6
2021-12-4,8.6,18.8,0.0,6.8,2.7,SSE,43,18:10,14.1,67,6.0,SW,22,1019.5,15.7,71,7,S,28,1019.2
